hashtag_id,tag_name,date,view_count,like_count,comment_count,share_count,video_count,engagement_rate,view_growth,like_growth,engagement_growth,trend_score
13,lernontiktok,2026-05-10,5300000,193700,3038,36400,1,4.398829358711442,0.0,0.0,0.0,3943.8
13,lernontiktok,2026-05-11,5300000,193700,3039,36400,1,4.398848226632411,0.0,0.0,1.8867920968723695e-05,3943.9
13,lernontiktok,2026-05-12,5300000,193700,3039,36500,1,4.400735018729242,0.0,0.0,0.0018867920968315133,3953.9
13,lernontiktok,2026-05-13,5300000,193800,3039,36500,1,4.402621810826073,0.0,100.0,0.001886792096830625,3983.9
14,fyb,2026-05-10,28688000,919300,9660,75942,10,3.502865187434984,0.0,0.0,0.0,8560.2
14,fyb,2026-05-11,28691100,919401,9664,75949,10,3.502877076763279,3100.0,101.0,1.1889328295211499e-05,10141.6
14,fyb,2026-05-12,28696900,919604,9666,76088,10,3.50336783752364,5800.0,203.0,0.0004907607603610309,11536.3
14,fyb,2026-05-13,28701200,920005,9663,76107,10,3.5042958655284147,4300.0,401.0,0.0009280280047745393,10847.300000000001
15,klteam,2026-05-10,5772800,204097,3191,37480,4,4.240021438466353,0.0,0.0,0.0,4067.1
15,klteam,2026-05-11,5773400,204101,3192,37486,4,4.239771323696379,600.0,4.0,-0.00025011476997338633,4369.0
15,klteam,2026-05-12,5774000,204108,3192,37586,4,4.241183886182216,600.0,7.0,0.0014125624858367658,4379.900000000001
15,klteam,2026-05-13,5774300,204214,3192,37590,4,4.242868530753766,300.0,106.0,0.0016846445715499314,4260.0
16,bienhinh,2026-05-10,5300000,193700,3038,36400,1,4.398829358711442,0.0,0.0,0.0,3943.8
16,bienhinh,2026-05-11,5300000,193700,3039,36400,1,4.398848226632411,0.0,0.0,1.8867920968723695e-05,3943.9
16,bienhinh,2026-05-12,5300000,193700,3039,36500,1,4.400735018729242,0.0,0.0,0.0018867920968315133,3953.9
16,bienhinh,2026-05-13,5300000,193800,3039,36500,1,4.402621810826073,0.0,100.0,0.001886792096830625,3983.9
17,thaydoibanthan,2026-05-10,25500000,934200,10867,111897,4,4.144956700197777,0.0,0.0,0.0,12276.400000000001
17,thaydoibanthan,2026-05-11,25500000,934600,10871,111999,4,4.14694101384545,0.0,400.0,0.0019843136476733747,12407.000000000002
17,thaydoibanthan,2026-05-12,25500000,934600,10872,112102,4,4.147348856966712,0.0,0.0,0.0004078431212617417,12297.400000000001
17,thaydoibanthan,2026-05-13,25500000,934900,10871,112105,4,4.148533170645758,0.0,300.0,0.0011843136790465891,12387.6
18,lastore,2026-05-10,1704100,75256,517,4531,4,4.71239674174242,0.0,0.0,0.0,504.8
18,lastore,2026-05-11,1707400,75565,518,4546,4,4.722323578350956,3300.0,309.0,0.009926836608535439,2249.1
18,lastore,2026-05-12,1717000,76377,520,4560,4,4.7441440045754195,9600.0,812.0,0.021820426224463674,5551.6
18,lastore,2026-05-13,1723200,76853,520,4568,4,4.755162050161299,6200.0,476.0,0.011018045585879044,3751.6000000000004
19,la96store,2026-05-10,604100,45456,175,1270,3,7.763767979195532,0.0,0.0,0.0,144.5
19,la96store,2026-05-11,607400,45765,175,1283,3,7.7746003052349275,3300.0,309.0,0.010832326039395213,1888.5
19,la96store,2026-05-12,617000,46477,177,1297,3,7.771624357172841,9600.0,712.0,-0.002975948062086786,5161.0
19,la96store,2026-05-13,623200,46953,178,1304,3,7.771970840868356,6200.0,476.0,0.000346483695515154,3391.0000000000005
20,phoidonamdep,2026-05-10,15193600,750824,2170,6628,4,4.999617931259351,0.0,0.0,0.0,879.8000000000001
20,phoidonamdep,2026-05-11,15195100,750824,2170,6633,4,4.9991572941831715,1500.0,0.0,-0.00046063707617971517,1630.3000000000002
20,phoidonamdep,2026-05-12,15196000,750823,2169,6635,4,4.99886121355217,900.0,0.0,-0.0002960806310010611,1330.4
20,phoidonamdep,2026-05-13,15197400,750826,2169,6637,4,4.998433613747508,1400.0,3.0,-0.00042759980466211545,1581.5
21,cachphoidonam,2026-05-10,699500,14500,96,1173,1,2.2543212947515445,0.0,0.0,0.0,126.9
21,cachphoidonam,2026-05-11,701000,14500,96,1178,1,2.250210770027432,1500.0,0.0,-0.004110524724112441,877.4000000000001
21,cachphoidonam,2026-05-12,701900,14500,96,1180,1,2.2476104179934207,900.0,0.0,-0.0026003520340114328,577.6
21,cachphoidonam,2026-05-13,703200,14500,96,1182,1,2.243739698891213,1300.0,0.0,-0.003870719102207598,777.8000000000001
23,myoutfit,2026-05-10,147444058,7638219,45809,458719,89,5.522600947929682,0.0,0.0,0.0,50452.8
23,myoutfit,2026-05-11,147494665,7643590,45831,459140,89,5.524647921844171,50607.0,5371.0,0.0020469739144886034,77411.9
23,myoutfit,2026-05-12,147630740,7646968,45842,459381,89,5.522014551156388,136075.0,3378.0,-0.002633370687783021,119573.2
23,myoutfit,2026-05-13,147668155,7649779,45846,459625,89,5.5226869630578985,37415.0,2811.0,0.0006724119015109054,70097.9
24,thờitrang,2026-05-10,4513900,228506,1315,51898,4,6.241142639149596,0.0,0.0,0.0,5321.3
24,thờitrang,2026-05-11,4515600,228618,1317,52002,4,6.2436207273406135,1700.0,112.0,0.002478088191017136,6215.500000000001
24,thờitrang,2026-05-12,4516700,228728,1319,52008,4,6.24471267856783,1100.0,110.0,0.0010919512272167253,5915.7
24,thờitrang,2026-05-13,4517900,228731,1319,52114,4,6.245466644798104,1200.0,3.0,0.0007539662302740169,5944.200000000001
25,ootd,2026-05-10,473508722,36726141,138212,1785712,250,8.16248215135838,0.0,0.0,0.0,192392.40000000002
25,ootd,2026-05-11,473935600,36756367,138344,1788527,250,8.162129605452451,426878.0,30226.0,-0.00035254590592970203,415193.9
25,ootd,2026-05-12,474511171,36885355,138457,1791037,250,8.179965254853894,575571.0,128988.0,0.017835649401442666,519431.30000000005
25,ootd,2026-05-13,475151200,36904508,138519,1792760,250,8.173353433236928,640029.0,19153.0,-0.0066118216169659405,518888.30000000005
26,minimalist,2026-05-10,3751200,119435,1117,30604,4,4.029536140558717,0.0,0.0,0.0,3172.1
26,minimalist,2026-05-11,3752500,119552,1119,30709,4,4.0341095178922,1300.0,117.0,0.004573377333483286,3867.9
26,minimalist,2026-05-12,3753300,119663,1121,30715,4,4.036420207172299,800.0,111.0,0.002310689280099254,3616.9
26,minimalist,2026-05-13,3754100,119666,1121,30821,4,4.038463536276728,800.0,3.0,0.002043329104428615,3595.1000000000004
27,phongcachthoitrang,2026-05-10,1562433,112669,836,4774,7,7.570175764224281,0.0,0.0,0.0,561.0
27,phongcachthoitrang,2026-05-11,1565857,112938,837,4785,7,7.571567792226371,3424.0,269.0,0.0013920280020895959,2354.9
27,phongcachthoitrang,2026-05-12,1570732,113327,837,4798,7,7.573661468881089,4875.0,389.0,0.0020936766547183794,3117.7
27,phongcachthoitrang,2026-05-13,1574266,113621,837,4812,7,7.576224363465664,3534.0,294.0,0.002562894584574593,2420.1000000000004
28,vintage,2026-05-10,81141782,6708057,81059,1098768,46,9.72111248775492,0.0,0.0,0.0,117982.7
28,vintage,2026-05-11,81167585,6711754,81067,1099367,46,9.723324776469266,25803.0,3697.0,0.0022122887143449788,132054.0
28,vintage,2026-05-12,81286486,6714205,81077,1099738,46,9.712586053817285,118901.0,2451.0,-0.010738722651980837,178267.3
28,vintage,2026-05-13,81305188,6716989,81084,1100240,46,9.71440211522047,18702.0,2784.0,0.0018160614031845768,128318.6
29,quanjean,2026-05-10,10274900,351700,4027,13853,6,3.5969203012272333,0.0,0.0,0.0,1788.0000000000002
29,quanjean,2026-05-11,10280800,351900,4024,13876,6,3.59699599282196,5900.0,200.0,7.569159472664566e-05,4800.0
29,quanjean,2026-05-12,10285900,352100,4025,13903,6,3.5974291411126744,5100.0,200.0,0.00043314829071450234,4402.8
29,quanjean,2026-05-13,10289400,352300,4025,13912,6,3.5982366709199103,3500.0,200.0,0.0008075298072358628,3603.7
30,tuanvu,2026-05-10,1200000,25800,1124,2750,1,2.4728312726406063,0.0,0.0,0.0,387.4
30,tuanvu,2026-05-11,1200000,25800,1124,2752,1,2.4729979391683843,0.0,0.0,0.00016666652777796997,387.6
30,tuanvu,2026-05-12,1200000,25800,1124,2754,1,2.473164605696162,0.0,0.0,0.00016666652777752589,387.80000000000007
30,tuanvu,2026-05-13,1200000,25800,1122,2757,1,2.473247938960051,0.0,0.0,8.333326388898499e-05,387.9
31,tuanvureview_m70,2026-05-10,1200000,25800,1124,2750,1,2.4728312726406063,0.0,0.0,0.0,387.4
31,tuanvureview_m70,2026-05-11,1200000,25800,1124,2752,1,2.4729979391683843,0.0,0.0,0.00016666652777796997,387.6
31,tuanvureview_m70,2026-05-12,1200000,25800,1124,2754,1,2.473164605696162,0.0,0.0,0.00016666652777752589,387.80000000000007
31,tuanvureview_m70,2026-05-13,1200000,25800,1122,2757,1,2.473247938960051,0.0,0.0,8.333326388898499e-05,387.9
32,moingaymotoutfit,2026-05-10,8898800,563787,4302,38297,9,6.81424385150314,0.0,0.0,0.0,4259.900000000001
32,moingaymotoutfit,2026-05-11,8901000,563894,4302,38318,9,6.813997661611318,2200.0,107.0,-0.0002461898918220129,5394.1
32,moingaymotoutfit,2026-05-12,8902700,564103,4303,38325,9,6.815133968893261,1700.0,209.0,0.0011363072819428055,5175.5
32,moingaymotoutfit,2026-05-13,8903900,564309,4303,38333,9,6.816618917932712,1200.0,206.0,0.0014849490394510667,4925.4
34,outfitmoingay,2026-05-10,324100,19200,391,13300,1,10.148379671768986,0.0,0.0,0.0,1369.1
34,outfitmoingay,2026-05-11,324200,19200,391,13300,1,10.145249397750161,100.0,0.0,-0.003130274018824153,1419.1
34,outfitmoingay,2026-05-12,324200,19200,390,13300,1,10.144940947128479,0.0,0.0,-0.00030845062168260995,1369.0
34,outfitmoingay,2026-05-13,324300,19200,390,13300,1,10.141812698696581,100.0,0.0,-0.003128248431897518,1419.0
35,xuhuong2025,2026-05-10,1461000,41909,347,1987,3,3.0282662366418642,0.0,0.0,0.0,233.40000000000003
35,xuhuong2025,2026-05-11,1461400,41909,347,1987,3,3.027437370030539,400.0,0.0,-0.0008288666113251963,433.4
